Adresse;Bezirk;WBezArt;Wahlbezirk;AghWkr;StimmArt;OstWest;WberIns;Waehler;Waehlerp;Gueltig;Gueltigp;Unguelt;Ungueltp;P01;P01p;P02;P02p;P03;P03p;P04;P04p;P05;P05p;P06;P06p;P07;P07p;P08;P08p;P09;P09p;P10;P10p;P11;P11p;P12;P12p;P13;P13p;P14;P14p;P15;P15p;P16;P16p;P17;P17p;P18;P18p;P19;P19p;P20;P20p;P21;P21p;P22;P22p;P23;P23p;P24;P24p;P25;P25p;P26;P26p;P27;P27p;P28;P28p;P29;P29p;P30;P30p;P31;P31p;P32;P32p;P33;P33p;P34;P34p;P35;P35p;P36;P36p;P37;P37p;P38;P38p;P39;P39p;P40;P40p;P41;P41p;P42;P42p
05W412;05;W;412;04;2;W;935;378;40,4;364;96,3;14;3,7;153;42,0;124;34,1;22;6,0;8;2,2;3;0,8;12;3,3;5;1,4;0;0,0;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;1;0,3;0;0,0;5;1,4;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;28;7,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W413;05;W;413;04;2;W;1022;483;47,3;473;97,9;10;2,1;151;31,9;185;39,1;42;8,9;10;2,1;5;1,1;13;2,7;9;1,9;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,4;0;0,0;1;0,2;0;0,0;6;1,3;4;0,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;45;9,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W414;05;W;414;04;2;W;903;399;44,2;395;99,0;4;1,0;134;33,9;126;31,9;34;8,6;15;3,8;4;1,0;19;4,8;11;2,8;0;0,0;1;0,3;1;0,3;1;0,3;0;0,0;1;0,3;0;0,0;1;0,3;0;0,0;7;1,8;4;1,0;0;0,0;1;0,3;2;0,5;0;0,0;0;0,0;0;0,0;0;0,0;33;8,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W415;05;W;415;04;2;W;748;278;37,2;271;97,8;6;2,2;90;33,2;87;32,1;23;8,5;5;1,8;2;0,7;11;4,1;10;3,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;1,8;0;0,0;0;0,0;0;0,0;9;3,3;1;0,4;0;0,0;0;0,0;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;27;10,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W416;05;W;416;04;2;W;1234;595;48,2;590;99,2;5;0,8;149;25,3;218;36,9;73;12,4;22;3,7;17;2,9;9;1,5;8;1,4;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;5;0,8;0;0,0;13;2,2;0;0,0;12;2,0;9;1,5;1;0,2;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;52;8,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W417;05;W;417;04;2;W;746;237;31,8;227;95,8;10;4,2;72;31,7;66;29,1;19;8,4;20;8,8;7;3,1;8;3,5;6;2,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;1,3;0;0,0;0;0,0;0;0,0;4;1,8;2;0,9;0;0,0;0;0,0;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;19;8,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W418;05;W;418;04;2;W;946;316;33,4;304;96,2;12;3,8;99;32,6;102;33,6;34;11,2;13;4,3;6;2,0;7;2,3;6;2,0;0;0,0;1;0,3;0;0,0;1;0,3;0;0,0;2;0,7;0;0,0;5;1,6;0;0,0;5;1,6;2;0,7;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;20;6,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W419;05;W;419;04;2;W;796;309;38,8;298;96,4;11;3,6;119;39,9;89;29,9;22;7,4;13;4,4;1;0,3;11;3,7;4;1,3;0;0,0;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;10;3,4;3;1,0;0;0,0;0;0,0;4;1,3;0;0,0;0;0,0;0;0,0;0;0,0;21;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W420;05;W;420;04;2;W;1076;427;39,7;416;97,4;11;2,6;147;35,3;141;33,9;46;11,1;14;3,4;8;1,9;4;1,0;3;0,7;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;2;0,5;0;0,0;7;1,7;0;0,0;10;2,4;1;0,2;2;0,5;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;29;7,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W421;05;W;421;04;2;W;719;286;39,8;272;95,1;14;4,9;99;36,4;87;32,0;25;9,2;8;2,9;6;2,2;7;2,6;8;2,9;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,4;0;0,0;14;5,1;1;0,4;0;0,0;0;0,0;1;0,4;0;0,0;0;0,0;0;0,0;0;0,0;15;5,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
