"Suchwort";"Letzter Zugriff";"Besucher";
"Suchmaschinen";"31.05.2015";"50931";
"Direkteingabe / nicht verfügbar";"31.05.2015";"22181";
"Andere Sites";"31.05.2015";"4337";
